Orthogroup	Babesia_bovis	Cardiosporidium_cionae	Cryptosporidium_parvum	Cyclospora_cayetanensis	Eimeria_tenella	Haemoproteus_tartakovskyi	Hepatocystis	Neospora_caninum	Nephromyces	Plasmodium_berghei	Plasmodium_chabaudi	Plasmodium_falciparum	Plasmodium_gaboni	Plasmodium_gallinaceum	Plasmodium_knowlesi	Plasmodium_reichenowi	Plasmodium_vivax	Plasmodium_yoelii	Sarcocystis_neurona	Theileria_annulata	Toxoplasma_gondii	Total
OG0000174	2	2	1	2	2	1	2	3	5	2	2	2	2	2	2	2	2	2	2	2	2	44
OG0000175	2	4	2	2	2	1	2	2	4	2	2	2	1	2	2	2	2	2	2	2	2	44
OG0000176	2	3	2	1	2	1	2	3	2	2	2	2	2	2	2	2	2	2	3	2	3	44
OG0000177	2	2	2	2	2	2	2	2	4	2	2	2	2	2	2	2	2	2	2	2	2	44
OG0000178	1	3	2	1	2	2	2	2	4	2	2	3	2	2	2	3	2	2	2	1	2	44
OG0000179	0	5	0	3	3	0	2	2	8	2	2	2	2	2	2	2	2	2	0	1	2	44
OG0000180	0	0	0	9	4	0	0	11	0	0	0	0	0	0	0	0	0	0	8	0	12	44
OG0000181	2	0	1	3	3	1	2	3	3	2	2	2	2	2	2	2	2	2	2	2	3	43
OG0000182	2	3	2	2	2	0	4	2	3	2	2	2	2	2	2	2	2	2	1	2	2	43
OG0000183	3	4	0	1	1	2	2	2	6	2	2	2	2	2	2	2	2	2	0	3	1	43
OG0000184	1	1	1	3	3	1	2	4	0	2	2	2	1	2	2	2	2	2	4	1	5	43
OG0000185	2	2	1	2	2	2	2	3	2	2	2	2	2	2	2	2	2	2	3	1	3	43
OG0000186	1	3	2	6	6	0	1	4	2	1	1	1	1	1	1	1	1	1	3	1	5	43
OG0000187	2	3	1	2	2	2	2	2	3	2	2	2	2	2	2	2	2	2	2	2	2	43
OG0000188	2	1	2	1	2	2	3	2	4	2	2	2	2	2	2	2	2	2	2	2	2	43
OG0000189	0	0	14	3	3	1	0	3	3	1	1	1	1	1	1	1	1	1	4	0	3	43
OG0000190	0	0	0	0	0	0	4	0	0	3	3	6	5	0	4	5	10	3	0	0	0	43
OG0000191	0	0	0	0	0	0	0	0	0	0	0	0	0	43	0	0	0	0	0	0	0	43
OG0000192	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	43	0	0	0	0	43
OG0000193	2	2	1	3	3	0	2	2	3	2	2	2	2	2	2	2	2	2	2	2	2	42
OG0000194	2	3	2	2	2	2	2	2	1	2	2	2	2	2	2	2	2	2	2	2	2	42
OG0000195	2	3	1	2	2	2	2	2	3	2	2	2	2	2	2	2	2	2	1	2	2	42
OG0000196	2	2	2	1	3	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	42
OG0000197	2	3	1	2	2	1	2	2	3	2	2	2	2	2	2	2	2	2	2	2	2	42
OG0000198	2	2	3	1	2	1	2	2	3	2	2	2	2	2	2	2	2	2	2	2	2	42
OG0000199	1	2	1	3	3	1	2	2	4	2	2	2	2	2	2	2	2	2	2	1	2	42
OG0000200	2	1	2	2	2	2	2	2	3	2	2	2	2	2	2	2	2	2	2	2	2	42
OG0000201	2	2	2	2	2	1	2	2	3	2	2	2	2	2	2	2	2	2	2	2	2	42
OG0000202	2	4	0	2	3	1	2	3	0	2	2	2	2	2	2	2	2	2	2	2	3	42
OG0000203	2	0	2	2	2	2	2	2	4	2	2	2	2	2	2	2	2	2	2	2	2	42
OG0000204	2	4	1	2	2	0	2	2	3	2	2	2	2	2	2	2	2	2	2	2	2	42
OG0000205	1	2	2	4	4	1	2	3	0	1	1	1	1	2	1	1	1	1	3	7	3	42
OG0000206	2	4	1	1	2	0	2	2	4	2	2	2	2	2	2	2	2	2	2	2	2	42
OG0000207	2	2	1	2	2	1	2	2	4	2	2	2	2	2	2	2	2	2	2	2	2	42
OG0000208	2	2	1	2	2	1	2	2	4	2	2	2	2	2	2	2	2	2	2	2	2	42
OG0000209	0	0	0	1	1	1	2	1	2	3	2	5	5	1	4	6	3	3	1	0	1	42
OG0000210	0	0	0	0	0	0	0	0	0	3	8	6	6	1	2	6	2	8	0	0	0	42
OG0000211	2	2	2	2	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	41
OG0000212	2	2	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	41
OG0000213	1	3	1	1	2	2	2	2	3	2	2	2	2	2	2	2	2	2	2	2	2	41
OG0000214	2	1	2	2	3	0	2	2	4	2	2	2	2	2	2	2	2	2	1	1	3	41
OG0000215	2	2	2	2	2	2	2	2	1	2	2	2	2	2	2	2	2	2	2	2	2	41
OG0000216	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	41
OG0000217	1	3	0	2	2	2	2	2	4	2	2	2	2	2	2	2	2	2	2	1	2	41
OG0000218	2	4	1	2	2	0	1	2	3	2	2	2	2	2	2	2	2	2	2	2	2	41
OG0000219	2	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	41
OG0000220	2	3	0	2	2	1	2	2	3	2	2	2	2	2	2	2	2	2	2	2	2	41
OG0000221	2	1	2	1	2	1	3	2	3	2	2	2	2	2	2	2	2	2	2	2	2	41
OG0000222	2	3	0	2	3	1	2	2	3	2	2	2	2	2	2	2	2	2	1	2	2	41
OG0000223	1	2	0	3	3	1	2	2	3	2	2	2	2	2	2	2	2	2	3	1	2	41
OG0000224	0	0	0	0	0	0	0	0	0	0	0	11	20	0	0	10	0	0	0	0	0	41
OG0000225	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	41	0	41
OG0000226	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40
OG0000227	1	3	0	2	2	2	2	2	3	2	2	2	2	2	2	2	2	2	2	1	2	40
OG0000228	2	1	2	2	2	1	2	3	1	2	2	2	2	2	2	2	2	2	2	2	2	40
OG0000229	2	1	1	2	3	0	2	2	4	2	2	2	2	2	2	2	2	2	0	2	3	40
OG0000230	1	2	2	2	2	2	2	2	3	2	2	2	2	2	2	2	2	2	1	1	2	40
OG0000231	2	2	0	2	2	2	2	2	3	2	2	2	2	2	2	2	2	2	3	0	2	40
OG0000232	2	2	2	1	2	0	2	2	3	2	2	2	2	2	2	2	2	2	2	2	2	40
OG0000233	1	2	0	3	2	0	2	3	2	2	2	2	2	2	2	2	2	2	3	1	3	40
OG0000234	0	2	1	1	2	1	2	2	3	2	2	3	3	2	2	3	2	2	2	0	3	40
OG0000235	0	1	0	3	3	1	2	3	5	2	2	2	2	2	2	2	2	2	1	0	3	40
OG0000236	0	0	0	0	0	0	0	0	0	0	0	0	0	0	39	0	1	0	0	0	0	40
OG0000237	2	1	2	2	2	0	2	2	3	2	2	2	1	2	2	2	2	2	2	2	2	39
OG0000238	1	1	2	1	2	2	2	2	3	2	2	2	1	2	2	2	2	2	2	2	2	39
OG0000239	2	2	1	1	2	0	2	2	4	2	2	2	1	2	2	2	2	2	2	2	2	39
OG0000240	2	1	0	1	2	1	2	2	4	2	2	2	2	2	2	2	2	2	2	2	2	39
OG0000241	2	3	1	2	2	2	2	1	2	2	2	2	2	2	2	2	2	2	1	2	1	39
OG0000242	2	2	2	2	2	1	2	2	1	2	2	2	2	2	2	2	2	2	1	2	2	39
OG0000243	1	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	2	39
OG0000244	0	1	1	2	3	2	1	3	3	2	2	2	1	2	2	2	2	2	3	0	3	39
OG0000245	0	2	0	2	2	2	2	3	2	2	2	2	2	2	2	2	2	2	4	0	2	39
OG0000246	2	2	0	2	2	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	38
OG0000247	4	6	0	1	1	2	2	1	1	2	2	2	2	2	2	2	2	2	0	1	1	38
OG0000248	2	1	2	1	2	1	2	2	1	2	2	2	2	2	2	2	2	2	2	2	2	38
OG0000249	1	2	2	2	2	1	2	2	1	2	2	2	2	2	2	2	2	2	2	1	2	38
OG0000250	2	2	0	1	1	2	2	2	3	2	2	2	2	2	2	2	2	2	2	1	2	38
OG0000251	2	1	1	1	1	2	1	2	4	2	2	2	2	2	2	2	2	2	1	2	2	38
OG0000252	2	1	1	1	2	1	2	2	2	2	2	2	1	2	3	2	2	2	2	2	2	38
OG0000253	2	0	2	2	2	2	2	2	0	2	2	2	2	2	2	2	2	2	2	2	2	38
OG0000254	2	2	0	2	2	1	2	2	2	2	2	2	2	2	2	2	2	2	1	2	2	38
OG0000255	1	4	2	2	3	1	1	4	5	1	1	1	0	1	1	1	1	1	2	1	4	38
OG0000256	0	1	0	2	3	1	4	3	3	1	1	2	2	2	2	2	2	1	3	0	3	38
OG0000257	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	31	0	0	0	38
OG0000258	2	3	1	2	2	0	2	1	2	2	2	2	2	2	2	2	2	2	1	2	1	37
